IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
LIH,21.97598306,-159.3389581,1668,834,834,51.05,51.05,51.24,43.04,486.56,3.35,3.52,8,0,4,4,8
JAN,32.31116667,-90.07588889,1649,824,825,83.74,83.74,83.67,66.47,635.72,6.76,10.78,8,3,10,10,20
KOA,19.73876583,-156.0456314,1606,803,803,83.32,83.32,82.33,72.54,890.98,5.28,7.2,9,0,6,6,12
DSM,41.53493306,-93.66068222,1593,797,796,77.34,77.34,79.32,58.21,589.63,7.15,11.8,22,0,5,5,10
LBB,33.66363889,-101.8227778,1450,725,725,69.06,69.06,70.94,54.15,504.09,4.73,7.68,20,2,6,7,13
HPN,41.06695778,-73.70757444,1443,721,722,108.77,108.77,109.56,83.49,799.75,10.01,11.17,86,1,4,4,8
ICT,37.64995889,-97.43304583,1438,718,720,93.05,93.05,92.39,70.91,706.29,4.95,9.03,21,2,6,6,12
CID,41.88458833,-91.71087222,1344,673,671,70.61,70.61,75.42,53.36,515.49,5.16,7.7,35,0,5,5,10
GSP,34.89566722,-82.21885833,1331,666,665,86.4,86.4,88.23,64.6,607.54,4.76,7.76,38,2,6,6,12
MAF,31.94252778,-102.2019139,1316,658,658,75.66,75.66,75.23,60.45,554.43,8.29,8.37,12,5,7,7,14
SAV,32.12758333,-81.20213889,1310,655,655,82.57,82.57,83.92,61.29,546.45,2.72,9.02,20,0,5,5,10
MDT,40.19349528,-76.76340361,1248,624,624,86.9,86.9,89.87,67.79,666.46,7.07,13.0,21,0,7,7,14
JNU,58.35496194,-134.5762764,1194,597,597,87.62,87.62,84.0,70.68,767.44,11.88,11.81,8,3,7,7,14
FAI,64.8136775,-147.8596694,1169,585,584,111.68,111.68,108.81,95.72,1099.26,6.31,8.2,3,1,5,4,9
TYS,35.81248722,-83.99285583,1116,558,558,81.16,81.16,80.33,58.44,556.3,4.26,9.96,5,0,5,5,10
SBA,34.42621194,-119.8403733,1108,554,554,51.74,51.74,51.84,35.34,221.13,9.53,7.36,11,1,2,2,4
SHV,32.4466275,-93.82559833,1106,557,549,71.23,71.23,72.0,50.07,363.01,5.24,8.39,21,1,3,3,6
MSN,43.13985778,-89.33751361,1083,542,541,66.15,66.15,68.01,45.55,376.87,3.89,7.52,19,0,4,4,8
CHS,32.89864639,-80.04050583,1064,532,532,63.89,63.89,65.32,43.75,383.64,2.52,6.06,22,0,4,4,8
